Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D3,3,D,Mixed,8,X,0.984
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D4,4,D,Mixed,8,S,0.926
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D5,5,D,Mixed,8,R,0.972
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D6,6,D,Mixed,8,B,0.07
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A1,1,A,Combination,5,X,1.066
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A2,2,A,Combination,5,X,1.061
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A3,3,A,Combination,5,X,0.996
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A4,4,A,Combination,5,B,0.075
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A5,5,A,Combination,5,B,0.068
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,A6,6,A,Combination,5,B,0.073
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B1,1,B,Combination,6,X,0.981
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B2,2,B,Combination,6,X,0.923
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B3,3,B,Combination,6,X,0.9
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B4,4,B,Combination,6,B,0.077
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B5,5,B,Combination,6,B,0.077
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,B6,6,B,Combination,6,B,0.072
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C1,1,C,Combination,7,X,0.951
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C2,2,C,Combination,7,X,0.891
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C3,3,C,Combination,7,X,0.874
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C4,4,C,Combination,7,B,0.086
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C5,5,C,Combination,7,B,0.073
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,C6,6,C,Combination,7,B,0.076
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D1,1,D,Combination,8,X,0.98
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D2,2,D,Combination,8,X,0.913
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D3,3,D,Combination,8,X,0.898
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D4,4,D,Combination,8,B,0.073
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D5,5,D,Combination,8,B,0.075
AB3,Rec+,290720,T01,CMB AB3 SHIFT 2,D6,6,D,Combination,8,B,0.077
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A1,1,A,No drug,5,X,0.894
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A2,2,A,No drug,5,X,0.896
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A3,3,A,No drug,5,X,0.89
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A4,4,A,No drug,5,X,0.962
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A5,5,A,No drug,5,X,1.058
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,A6,6,A,No drug,5,X,1.108
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B1,1,B,No drug,6,X,0.93
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B2,2,B,No drug,6,X,0.943
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B3,3,B,No drug,6,X,0.959
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B4,4,B,No drug,6,X,0.97
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B5,5,B,No drug,6,X,1.042
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,B6,6,B,No drug,6,X,1.119
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C1,1,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C2,2,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C3,3,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C4,4,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C5,5,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,C6,6,C,No drug,7,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D1,1,D,No drug,8,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D2,2,D,No drug,8,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D3,3,D,No drug,8,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D4,4,D,No drug,8,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D5,5,D,No drug,8,X,0
AB3,Rec+,290720,T01,NOD 1 SHIFT 2,D6,6,D,No drug,8,X,0
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A1,1,A,STP only,1,X,0.822
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A2,2,A,STP only,1,X,0.776
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A3,3,A,STP only,1,X,0.779
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A4,4,A,STP only,1,S,0.806
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A5,5,A,STP only,1,S,0.832
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,A6,6,A,STP only,1,S,0.856
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B1,1,B,STP only,2,X,0.839
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B2,2,B,STP only,2,X,0.792
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B3,3,B,STP only,2,X,0.791
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B4,4,B,STP only,2,S,0.802
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B5,5,B,STP only,2,S,0.848
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,B6,6,B,STP only,2,S,0.844
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C1,1,C,STP only,3,X,0.875
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C2,2,C,STP only,3,X,0.833
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C3,3,C,STP only,3,X,0.83
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C4,4,C,STP only,3,S,0.881
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C5,5,C,STP only,3,S,0.881
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,C6,6,C,STP only,3,S,0.87
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D1,1,D,STP only,4,X,0.863
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D2,2,D,STP only,4,X,0.86
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D3,3,D,STP only,4,X,0.858
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D4,4,D,STP only,4,S,0.919
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D5,5,D,STP only,4,S,0.936
AB3,Rec+,300720,T02,STR AB3 SHIFT 1,D6,6,D,STP only,4,S,0.954
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A1,1,A,RIF only,1,X,0.901
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A2,2,A,RIF only,1,X,0.81
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A3,3,A,RIF only,1,X,0.758
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A4,4,A,RIF only,1,R,0.833
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A5,5,A,RIF only,1,R,0.885
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,A6,6,A,RIF only,1,R,0.94
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B1,1,B,RIF only,2,X,0.87
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B2,2,B,RIF only,2,X,0.778
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B3,3,B,RIF only,2,X,0.762
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B4,4,B,RIF only,2,R,0.822
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B5,5,B,RIF only,2,R,0.879
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,B6,6,B,RIF only,2,R,0.937
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C1,1,C,RIF only,3,X,0.814
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C2,2,C,RIF only,3,X,0.768
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C3,3,C,RIF only,3,X,0.774
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C4,4,C,RIF only,3,R,0.854
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C5,5,C,RIF only,3,R,0.911
AB3,Rec+,300720,T02,RIF AB3 SHIFT 1,C6,6,C,RIF only,3,R,0.974
